"province","year","gdp_100m_yuan","population_10k","gdp_percap","ln_gdp_percap"
"Anhui",2008,9691.2,6135,15796.5770171149,9.66754855105785
"Anhui",2009,11063.3,6131,18044.8540205513,9.80061582729916
"Anhui",2010,13474.6,5957,22619.7750545577,10.026579805083
"Anhui",2011,16532.7,5972,27683.6905559277,10.2285987301767
"Anhui",2012,18613.7,5978,31137.0023419204,10.3461521768468
"Anhui",2013,20888.2,5988,34883.4335337341,10.4597673116453
"Anhui",2014,22880.7,5997,38153.5767883942,10.549374788239
"Anhui",2015,24142.7,6011,40164.1989685576,10.60073130489
"Anhui",2016,26801.2,6033,44424.3328360683,10.7015426351514
"Anhui",2017,30141.8,6057,49763.5793297012,10.8150386566931
"Anhui",2018,34377.3,6076,56578.8347597103,10.943390250082
"Anhui",2019,37584.8,6092,61695.3381483913,11.0299636502868
"Anhui",2020,38628.8,6105,63274.0376740377,11.0552303766693
"Anhui",2021,43102.8,6113,70510.0605267463,11.1635106811264
"Beijing",2008,12167.6,1771,68704.6866177301,11.1375726944823
"Beijing",2009,13335.7,1860,71697.311827957,11.1802085339456
"Beijing",2010,15420.2,1962,78594.2915392457,11.2720543490527
"Beijing",2011,17653.3,2024,87219.8616600791,11.3761873552923
"Beijing",2012,19568.3,2078,94168.9124157844,11.4528453892793
"Beijing",2013,21746,2125,102334.117647059,11.5359984021754
"Beijing",2014,23577.5,2171,108602.026715799,11.5954453485159
"Beijing",2015,26034.1,2188,118985.831809872,11.6867597045842
"Beijing",2016,28438.7,2195,129561.275626424,11.7719092190721
"Beijing",2017,31325.9,2194,142779.854147675,11.869059241538
"Beijing",2018,35161.4,2192,160407.846715328,11.9854748928896
"Beijing",2019,37767,2190,172452.054794521,12.0578745336
"Beijing",2020,38503.6,2189,175895.842850617,12.0776472968512
"Beijing",2021,44350.7,2189,202607.1265418,12.2190240456065
"Chongqing",2008,5978.8,2839,21059.5280028179,9.95510837341487
"Chongqing",2009,6744.1,2859,23589.0171388597,10.0685365072209
"Chongqing",2010,8186.5,2885,28376.0831889081,10.2533019281135
"Chongqing",2011,10314.1,2944,35034.3070652174,10.4640830622508
"Chongqing",2012,11797.8,2975,39656.4705882353,10.58800940639
"Chongqing",2013,13275.8,3011,44090.9996678844,10.6940109514423
"Chongqing",2014,14911.7,3043,49003.2862306934,10.7996426407765
"Chongqing",2015,16305.9,3070,53113.680781759,10.8801898158871
"Chongqing",2016,18271.1,3110,58749.5176848875,10.9810382223538
"Chongqing",2017,20260.8,3144,64442.7480916031,11.0735324821234
"Chongqing",2018,21866.8,3163,69133.1014859311,11.143788932477
"Chongqing",2019,23689.6,3188,74308.6574654956,11.2159827443149
"Chongqing",2020,25158.1,3209,78398.5665316298,11.269560922136
"Chongqing",2021,28092.5,3212,87461.0834371108,11.3789492126916
