"province","year","scope1_total"
"Anhui",2008,225.01719107877
"Anhui",2009,251.514180883537
"Anhui",2010,271.441019300864
"Anhui",2011,294.086138977077
"Anhui",2012,323.996268044684
"Anhui",2013,356.731602392095
"Anhui",2014,363.273619744077
"Anhui",2015,363.910930096453
"Anhui",2016,376.145390022595
"Anhui",2017,382.216441009587
"Anhui",2018,398.984276534446
"Anhui",2019,408.064341069902
"Anhui",2020,416.010891222511
"Anhui",2021,433.784081892224
"Anhui",2022,441.077218568729
"Beijing",2008,99.2089234111102
"Beijing",2009,100.387283210589
"Beijing",2010,105.039650371145
"Beijing",2011,95.3108176229784
"Beijing",2012,97.9980408292761
"Beijing",2013,94.0709773939929
"Beijing",2014,93.2554508516599
"Beijing",2015,92.7630015275807
"Beijing",2016,89.9818130265404
"Beijing",2017,86.7693207482269
"Beijing",2018,89.6908869104849
"Beijing",2019,89.1844836918383
"Beijing",2020,76.784842539326
"Beijing",2021,79.8804284598569
"Beijing",2022,71.5544670473355
"Chongqing",2008,126.253214825281
"Chongqing",2009,133.081070122882
"Chongqing",2010,145.415738179309
"Chongqing",2011,166.60567953002
"Chongqing",2012,171.645829074773
"Chongqing",2013,149.1216010324
"Chongqing",2014,162.896787095497
"Chongqing",2015,164.196692636106
"Chongqing",2016,156.581973158609
"Chongqing",2017,160.549765854695
"Chongqing",2018,160.604331929589
"Chongqing",2019,156.254672987242
"Chongqing",2020,152.856436390421
"Chongqing",2021,165.278990958458
"Chongqing",2022,162.055223095746
"Fujian",2008,165.749858269307
"Fujian",2009,187.81732356593
"Fujian",2010,201.083855900237
"Fujian",2011,238.136722020578
"Fujian",2012,233.895088802395
"Fujian",2013,236.147444628453
"Fujian",2014,249.349727343584
"Fujian",2015,234.241725891319
"Fujian",2016,217.92651916448
"Fujian",2017,234.969800629697
"Fujian",2018,261.455608976857
"Fujian",2019,278.109292120749
"Fujian",2020,275.817783016871
"Fujian",2021,299.81699280247
"Fujian",2022,299.219512343733
"Gansu",2008,103.347354062962
"Gansu",2009,100.81326106755
"Gansu",2010,127.587063357325
"Gansu",2011,140.316128685476
"Gansu",2012,154.249052105961
"Gansu",2013,160.898870901168
"Gansu",2014,164.619292016312
"Gansu",2015,160.084998474831
"Gansu",2016,153.935134115742
"Gansu",2017,151.9586686043
"Gansu",2018,162.990319036382
"Gansu",2019,164.488402642656
"Gansu",2020,175.86981328525
"Gansu",2021,189.452544765254
"Gansu",2022,195.741193567455
"Guangdong",2008,416.922575400553
"Guangdong",2009,437.572791098939
"Guangdong",2010,476.841155683971
"Guangdong",2011,526.26369382227
"Guangdong",2012,513.440316916306
"Guangdong",2013,506.564296763958
"Guangdong",2014,513.873692640581
"Guangdong",2015,515.079784941778
"Guangdong",2016,530.315417799062
"Guangdong",2017,556.859016875458
"Guangdong",2018,567.506958593013
"Guangdong",2019,569.119531239861
"Guangdong",2020,566.571828771506
"Guangdong",2021,629.737181952066
"Guangdong",2022,619.353860410031
"Guangxi",2008,132.978157912084
"Guangxi",2009,151.784671539526
"Guangxi",2010,174.605332917501
"Guangxi",2011,195.174900080022
"Guangxi",2012,208.200895179005
"Guangxi",2013,213.714454543513
"Guangxi",2014,212.202669201886
"Guangxi",2015,203.064907764268
"Guangxi",2016,216.804331970364
"Guangxi",2017,227.891583621917
"Guangxi",2018,231.832855362296
"Guangxi",2019,246.71670901614
"Guangxi",2020,268.097057787973
"Guangxi",2021,288.032283915962
"Guangxi",2022,279.107504323731
"Guizhou",2008,163.400303435695
"Guizhou",2009,184.703207410405
"Guizhou",2010,192.423046154853
"Guizhou",2011,212.560059026876
"Guizhou",2012,232.278423232586
"Guizhou",2013,235.471178574759
"Guizhou",2014,233.310798821335
"Guizhou",2015,234.981365727498
"Guizhou",2016,250.96647495998
"Guizhou",2017,257.657766063325
"Guizhou",2018,252.723882267391
"Guizhou",2019,261.129235274056
"Guizhou",2020,252.777299138472
"Guizhou",2021,265.862994397807
"Guizhou",2022,251.866531099655
"Hainan",2008,24.847157427525
"Hainan",2009,26.9971309139227
"Hainan",2010,28.9259265393762
"Hainan",2011,34.9217137645575
"Hainan",2012,37.2641984261996
"Hainan",2013,39.4744218062855
"Hainan",2014,40.7360642472776
"Hainan",2015,42.2815165487586
"Hainan",2016,39.8545876643642
"Hainan",2017,42.1565919778165
"Hainan",2018,42.193660219002
"Hainan",2019,43.0670842557787
"Hainan",2020,40.2500039390283
"Hainan",2021,45.6527151872245
"Hainan",2022,44.6919345401215
"Hebei",2008,554.430384715875
"Hebei",2009,577.793798461794
"Hebei",2010,681.786154484037
"Hebei",2011,760.702268495208
"Hebei",2012,751.775479722807
"Hebei",2013,823.113467710854
"Hebei",2014,791.427959974341
"Hebei",2015,788.413061680606
"Hebei",2016,807.559341643905
"Hebei",2017,792.325769961344
"Hebei",2018,912.204315673728
"Hebei",2019,914.209118220385
"Hebei",2020,939.363100318423
"Hebei",2021,885.506551930991
"Hebei",2022,862.273721856768
"Heilongjiang",2008,197.337011408439
"Heilongjiang",2009,203.168793935824
"Heilongjiang",2010,224.858880023244
"Heilongjiang",2011,254.786700147896
"Heilongjiang",2012,279.462101035408
"Heilongjiang",2013,266.448903072293
"Heilongjiang",2014,277.886893097565
"Heilongjiang",2015,273.277810063456
"Heilongjiang",2016,277.680735215449
"Heilongjiang",2017,276.910844390516
"Heilongjiang",2018,255.097544445641
"Heilongjiang",2019,280.915533227684
"Heilongjiang",2020,273.059349294109
"Heilongjiang",2021,287.536209240492
"Heilongjiang",2022,273.293395891859
"Henan",2008,435.562415162985
"Henan",2009,450.725563619481
"Henan",2010,513.611844093879
"Henan",2011,556.076005337778
"Henan",2012,529.24561575855
"Henan",2013,492.902326599886
"Henan",2014,544.977304594756
"Henan",2015,527.430556857648
"Henan",2016,521.471900453752
"Henan",2017,501.855728451092
"Henan",2018,490.678165317225
"Henan",2019,460.630819265504
"Henan",2020,473.656993991204
"Henan",2021,483.738032028413
"Henan",2022,528.975824777069
"Hubei",2008,253.979778858475
"Hubei",2009,275.184381931394
"Hubei",2010,337.658567616621
"Hubei",2011,384.299869954061
"Hubei",2012,376.939645486438
"Hubei",2013,319.455591872287
"Hubei",2014,320.145863526445
"Hubei",2015,317.996539327078
"Hubei",2016,319.762018162283
"Hubei",2017,331.61277739017
"Hubei",2018,329.077527615371
"Hubei",2019,354.752471487353
"Hubei",2020,317.486104016994
"Hubei",2021,361.054888222069
"Hubei",2022,372.810249713111
"Hunan",2008,226.524122434642
"Hunan",2009,239.048511621926
"Hunan",2010,262.153867543972
"Hunan",2011,291.884065842439
"Hunan",2012,291.222809601385
"Hunan",2013,281.202295768717
"Hunan",2014,278.68290248752
"Hunan",2015,292.525927419508
"Hunan",2016,308.089740834207
"Hunan",2017,322.954904577206
"Hunan",2018,305.970569854121
"Hunan",2019,310.641666458315
"Hunan",2020,302.314261143
"Hunan",2021,310.873566230814
"Hunan",2022,307.058038080964
"InnerMongolia",2008,411.425066414574
"InnerMongolia",2009,445.309728725966
"InnerMongolia",2010,490.621977617409
"InnerMongolia",2011,616.552193122076
"InnerMongolia",2012,635.165129618301
"InnerMongolia",2013,590.556137667602
"InnerMongolia",2014,600.609967350202
"InnerMongolia",2015,601.545969559321
"InnerMongolia",2016,606.107496377723
"InnerMongolia",2017,656.846847797345
"InnerMongolia",2018,723.568563092747
"InnerMongolia",2019,794.279374871464
"InnerMongolia",2020,839.74307666044
"InnerMongolia",2021,843.398873405289
"InnerMongolia",2022,878.769744615783
"Jiangsu",2008,496.582202115003
"Jiangsu",2009,515.622398002454
"Jiangsu",2010,589.821057111109
"Jiangsu",2011,636.938060608866
"Jiangsu",2012,656.742258033947
"Jiangsu",2013,706.623820107584
"Jiangsu",2014,708.242386333021
"Jiangsu",2015,721.654866067306
"Jiangsu",2016,743.044413907817
"Jiangsu",2017,757.880505758136
"Jiangsu",2018,764.049312673139
"Jiangsu",2019,800.803663319188
"Jiangsu",2020,773.971149426631
"Jiangsu",2021,817.680205639677
"Jiangsu",2022,821.345905674838
"Jiangxi",2008,130.289268988666
"Jiangxi",2009,142.182095984308
"Jiangxi",2010,151.892778529027
"Jiangxi",2011,165.332738826907
"Jiangxi",2012,166.15725369851
"Jiangxi",2013,202.405365373549
