"province","year","scope1_total","gdp_100m_yuan","ci","ln_ci","d_ln_ci"
"Anhui",2008,225.01719107877,9691.2,0.0232187129642118,-3.76279673214643,NA
"Anhui",2009,251.514180883537,11063.3,0.0227341011166231,-3.78388922991265,-0.0210924977662175
"Anhui",2010,271.441019300864,13474.6,0.0201446439449679,-3.9048168351057,-0.120927605193057
"Anhui",2011,294.086138977077,16532.7,0.0177881494841785,-4.02922280271606,-0.124405967610357
"Anhui",2012,323.996268044684,18613.7,0.0174063334019934,-4.05092115036913,-0.0216983476530723
"Anhui",2013,356.731602392095,20888.2,0.0170781399255127,-4.06995600021065,-0.0190348498415203
"Anhui",2014,363.273619744077,22880.7,0.0158768577772567,-4.14289271571131,-0.0729367155006573
"Anhui",2015,363.910930096453,24142.7,0.0150733319014217,-4.19482819579678,-0.0519354800854677
"Anhui",2016,376.145390022595,26801.2,0.0140346473300671,-4.26622619737377,-0.0713980015769904
"Anhui",2017,382.216441009587,30141.8,0.0126806110122683,-4.36768114404662,-0.101454946672849
"Anhui",2018,398.984276534446,34377.3,0.0116060387678627,-4.45622973288993,-0.0885485888433104
"Anhui",2019,408.064341069902,37584.8,0.010857164094791,-4.52293013165386,-0.0667003987639321
"Anhui",2020,416.010891222511,38628.8,0.0107694489920088,-4.531041950496,-0.00811181884213674
"Anhui",2021,433.784081892224,43102.8,0.0100639420615882,-4.59879633603703,-0.0677543855410301
"Beijing",2008,99.2089234111102,12167.6,0.00815353261211005,-4.80930399630274,NA
"Beijing",2009,100.387283210589,13335.7,0.00752771007225637,-4.8891643906904,-0.0798603943876603
"Beijing",2010,105.039650371145,15420.2,0.00681182153092341,-4.98909571574343,-0.0999313250530278
"Beijing",2011,95.3108176229784,17653.3,0.00539903687259484,-5.22153469824628,-0.232438982502853
"Beijing",2012,97.9980408292761,19568.3,0.00500799971531896,-5.2967187020296,-0.0751840037833178
"Beijing",2013,94.0709773939929,21746,0.00432589797636314,-5.44313553555666,-0.146416833527066
"Beijing",2014,93.2554508516599,23577.5,0.00395527307185494,-5.5327056354292,-0.0895700998725344
"Beijing",2015,92.7630015275807,26034.1,0.00356313456303774,-5.63711462629142,-0.10440899086222
"Beijing",2016,89.9818130265404,28438.7,0.0031640621064444,-5.75589860017823,-0.11878397388681
"Beijing",2017,86.7693207482269,31325.9,0.00276989075328169,-5.88894739880913,-0.133048798630898
"Beijing",2018,89.6908869104849,35161.4,0.0025508337810919,-5.9713350002786,-0.082387601469474
"Beijing",2019,89.1844836918383,37767,0.0023614394495681,-6.04848390962247,-0.0771489093438689
"Beijing",2020,76.784842539326,38503.6,0.00199422502153892,-6.21749976449208,-0.169015854869615
"Beijing",2021,79.8804284598569,44350.7,0.00180110862872191,-6.31935289882606,-0.101853134333975
"Chongqing",2008,126.253214825281,5978.8,0.0211168152179836,-3.85768562611777,NA
"Chongqing",2009,133.081070122882,6744.1,0.01973296216291,-3.92546483524918,-0.0677792091314027
"Chongqing",2010,145.415738179309,8186.5,0.0177628703572111,-4.03064493526475,-0.105180100015578
"Chongqing",2011,166.60567953002,10314.1,0.0161531960646125,-4.12563735015523,-0.0949924148904726
"Chongqing",2012,171.645829074773,11797.8,0.0145489692209372,-4.23023513179603,-0.104597781640801
"Chongqing",2013,149.1216010324,13275.8,0.0112325886976604,-4.48893602053118,-0.258700888735157
"Chongqing",2014,162.896787095497,14911.7,0.010924092296351,-4.51678462645443,-0.0278486059232455
"Chongqing",2015,164.196692636106,16305.9,0.0100697718394021,-4.59821722996594,-0.0814326035115123
"Chongqing",2016,156.581973158609,18271.1,0.00856992590257888,-4.75949619254998,-0.16127896258404
"Chongqing",2017,160.549765854695,20260.8,0.00792415728178034,-4.83783930155681,-0.0783431090068252
"Chongqing",2018,160.604331929589,21866.8,0.00734466551711218,-4.91378100924793,-0.0759417076911211
"Chongqing",2019,156.254672987242,23689.6,0.00659591858820924,-5.02130421696113,-0.107523207713204
"Chongqing",2020,152.856436390421,25158.1,0.00607583388214616,-5.10343603462463,-0.0821318176635017
"Chongqing",2021,165.278990958458,28092.5,0.00588338492332323,-5.13562301547258,-0.0321869808479445
"Fujian",2008,165.749858269307,11104.2,0.0149267716962327,-4.20459892013329,NA
"Fujian",2009,187.81732356593,12625.1,0.0148765018547125,-4.20797236762438,-0.00337344749109203
